matID,rows,nnzs,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree
1319,14214,137061,0.235513,0.462899,2.78868,7.08674,6.11214,1.8754
745,14270,300197,0.346152,0.679464,0.258006,0.297168,0.210426,0.0793
744,14270,300197,0.380888,0.566846,0.256902,0.326557,0.213706,0.0793
2281,14340,9041364,17.0299,18.322,92.449,129.984,229.945,10.5677
2231,14454,86625,0.123679,0.224363,0.044752,0.085856,0.08816,0.1177
2214,14454,86625,0.119003,0.210021,0.0443936,0.0845056,0.0838592,0.1177
2237,14538,1458648,1.63904,2.03987,0.905536,0.524822,0.847261,0.2673
288,14734,53791,0.092766,0.160188,0.722006,2.2831,2.76194,0.3556
551,14760,94721,0.154847,0.568492,0.47344,0.474016,0.384822,0.1238
1184,14822,365313,0.490886,0.794197,4.25768,4.78313,2.19361,1.9765
1565,14913,72655,0.117618,0.192496,0.0214304,0.033248,0.0337856,0.0333
2354,15066,40474,0.107984,0.198123,0.120211,0.0713888,0.068608,0.0449
1566,15343,113372,0.163106,0.387592,0.0231392,0.0412032,0.0400384,0.0461
2233,15374,594088,0.676008,1.04761,0.699568,1.00925,1.0537,0.2938
2537,15435,86854,0.143492,0.23905,0.0921568,0.0570496,0.0583712,0.0391
75,15439,15439,0.0499188,0.109948,0.0084416,0.0253568,0.0271264,0.0151
47,15439,133840,0.27416,0.404772,2.26512,3.25631,2.42534,0.9457
468,15575,16642,0.0582139,0.103101,0.0321024,0.03256,0.0321536,0.0169
1212,15838,40673,0.0891494,0.18478,0.0853728,0.0499328,0.0538592,0.0346
1847,16129,134569,0.20549,0.351274,2.00246,3.29948,2.53696,0.7209
813,16146,515651,0.634272,0.863784,4.3656,6.76879,2.56656,2.3843
922,16428,433870,0.453039,0.686982,0.134214,0.14249,0.0745408,0.0498
919,16428,40400,0.0757796,0.171994,0.0230784,0.030496,0.0389952,0.0181
1243,16554,39047,0.0715828,0.163392,0.0120736,0.026864,0.0291744,0.0158
409,16614,556781,0.686055,0.947743,3.37526,4.2968,2.24829,1.2524
2391,16706,137957,0.299374,0.526442,1.1285,1.12748,0.600784,0.3625
2393,16726,64320,0.224253,0.392848,0.39225,0.31135,0.198246,0.1024
2355,16861,44511,0.123879,0.201988,0.12937,0.0724736,0.0762912,0.05
2278,16955,26490,0.11042,0.375837,0.0431616,0.0373376,0.0364544,0.0197
