m,nnzs,lvls,max_rl_cnt,max_cl_cnt,min_cl_cnt,min_rl_cnt,max_nnz_pl_rw,max_nnz_pl_cw,max_rl,max_cl,mean_rl,max_rpl,median_rpl,median_rl,median_cl,mean_nnz_pl_rw,std_rpl,std_nnz_pl_rw,std_rl,std_cl,mean_rpl,mean_max_cl_pl,mean_mean_cl_pl,mean_std_cl_pl,mean_max_rl_pl,mean_std_rl_pl,mean_mean_rl_pl,mean_min_rl_pl,mean_median_rl_pl,mkl_seq,mkl_par,cusparse_v1,cusparse_v2_lvl,cusparse_v2_nolvl,syncfree,winner,CPU winner,GPU winner,2nd,3rd,4th,5th,6th
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0385683,0.0490613,0.0679552,0.0554752,0.0515072,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0399158,0.0465032,0.0679616,0.055568,0.0513024,0.0197,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0381826,0.0445331,0.0682624,0.0559328,0.0515072,0.0197,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0386861,0.04763,0.0680768,0.0559264,0.0521248,0.0208,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0390635,0.048883,0.0675904,0.0555264,0.0516096,0.0198,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0374198,0.0459022,0.0680704,0.0561088,0.0520224,0.0196,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0367316,0.0491055,0.0688672,0.0556928,0.0515104,0.0199,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0406214,0.0470177,0.068016,0.056,0.0513024,0.0196,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0406827,0.0441372,0.0682944,0.0555872,0.0520192,0.0209,6,1,7,1,2,5,4,3
1813,5577,14,1,1,32,794,1310,2493,1310,15,3.076117,794,27.5,2,3,398.357147,213.061615,402.860931,30.829649,1.247943,129.5,6.571429,2.730212,0.929504,108.214287,4.112749,98.851974,95.785713,97.25,0.0377001,0.0479444,0.068352,0.0558208,0.0516128,0.0195,6,1,7,1,2,5,4,3
